"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7615113","14067611511000211000000000U3","ACCES CAPACITACION DE EXCELENCIA","ACCES CAPACITACION DE EXCELENCIA SC","611511","Escuelas del sector privado dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","BERNA","CALLE","MILAN","CALLE","VIENA","CALLE","ALDANACA","279",,,,,,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1673","014",,,,"Fijo","20.63496456","-105.22605577","2019-11"
"1775551","14067611132000134000000000U2","ANTONIO CASO ANDRADE ESCUELA SECUNDARIA FORANEA # 78","SECRETARIA DE EDUCACION JALISCO ","611132","Escuelas de educación secundaria general del sector público","31 a 50 personas","AVENIDA","DE LOS MAESTROS","CALLE","POETA DESCONOCIDO","CALLE","JOSE MARTI","AVENIDA","DE LOS POETAS",,"SN",,,,,"COLONIA","MAGISTERIO",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2243","021","3221133395",,,"Fijo","20.67171348","-105.20780295","2014-12"
"1775611","14067611112000992000000000U5","AURELIA GUEVARA",,"611112","Escuelas de educación preescolar del sector público","6 a 10 personas","CALLE","HEBERTO CASTILLO","CALLE","GARDENIA","CALLE","24 DE FEBRERO","CALLE","PROGRESO","685",,,,,,"COLONIA","CAMPESTRE SAN NICOLAS",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1527","023","3221133094",,,"Fijo","20.6768992","-105.20020431","2014-12"
"1777817","14067611698000061000000000U7","AUTO ESCUELA VIAL DE VALLARTA",,"611698","Otros servicios educativos proporcionados por el sector privado","0 a 5 personas","CALLE","PASEO DE LAS PALMAS","CALLE","MEXICALTZINGO","CALLE","SANTA TERESITA","CALLE","DE LA LAGUNILLA","173",,,,"0",,"COLONIA","BARRIO SANTA MARIA",,,,"48348","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0849","038","3222249538","AUTOESCUELAVIALDEVALLARTA@HOTMAIL.COM",,"Fijo","20.6273394","-105.21920953","2014-12"
"6342125","14067611171000155001052589M5","BRITISH AMERICAN SCHOOL","BRITISH AMERICANHOOL DE VALLARTA SC","611171","Escuelas del sector privado que combinan diversos niveles de educación","11 a 30 personas","CALLE","PAVO REAL","CALLE","ZENZONTLE","CALLE","GUACAMAYO","CALLE","CALANDRIA","171",,,,,,"FRACCIONAMIENTO","LAS ARALIAS",,,,"48328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0444","001","3222241011","INFO.PV@BRITISH.EDU.MX","WWW.BRITISH.EDU.MX","Fijo","20.64046124","-105.2179311","2010-07"
"6346636","14067611171000163002052589S9","BRITISH AMERICAN SCHOOL","BRITISH AMERICANHOOL DE VALLARTA SC","611171","Escuelas del sector privado que combinan diversos niveles de educación","11 a 30 personas","CALLE","PASEO DEL MARLIN","CALLE","TUCAN","AVENIDA","DE LOS TULES","CALLE","PASEO DEL CANARIO","552",,,,,,"COLONIA","FRACC JARDINES DE LAS GAVIOTAS",,,,"48328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","029",,"INFO.PV@BRITISH.EDU.MX",,"Fijo","20.63832366","-105.21626475","2014-12"
"1774256","14067621342000014011000000U9","CADI AURORA","DIF ","611112","Escuelas de educación preescolar del sector público","11 a 30 personas","CALLE","MILENIUM","AVENIDA","PRISCILIANO SANCHEZ","CALLE","PREPARATORIA","AVENIDA","FRANCISCO MEDINA ASCENCIO","133",,,,,,"COLONIA","LA AURORA",,,,"48338","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1743","001",,,,"Fijo","20.65664837","-105.23691132","2014-12"
"9320420","14067611171000421000000000U3","CAMPOVERDE VALLARTA AC","CAMPOVERDE VALLARTA AC","611171","Escuelas del sector privado que combinan diversos niveles de educación","0 a 5 personas","CARRETERA","BOCA DE TOMATES","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","247",,,,"0",,"COLONIA","LAS JUNTAS",,,,"48291","14","JALISCO","067","Puerto Vallarta","0031","Las Juntas","1300","027",,"LCISNEROS@CAMPOVERDE.EDU.MX","WWW.CAMPOVERDE.EDU.MX","Fijo","20.68925199","-105.24845735","2020-11"
"1930317","14067611312000026000000000U8","CAMPUS PUERTO VALLARTA DEL INSTITUTO TECNOLOGICO JOSE MARIO MOLINA PASQUEL Y HERNANDEZ","GOBIERNO DEL ESTADO DE JALISCO ","611312","Escuelas de educación superior del sector público","101 a 250 personas","CALLE","COREA DEL SUR","CALLE","PRIMERO DE JUNIO","CALLE","24 DE JUNIO","OTRO (ESPECIFIQUE)","NINGUNO","600",,,,,,"COLONIA","LOMAS DEL COAPINOLE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1048","001","3222265600",,,"Fijo","20.65483624","-105.19957856","2010-07"
"1936850","14067611152000036001000000U7","CEBETIS 68","SECRETARIA DE EDUCACION PÚBLICA SEP ","611162","Escuelas de educación media superior del sector público","101 a 250 personas","CALLE","POLITECNICO NACIONAL","PROLONGACION","SECUNDARIA","AVENIDA","UNIVERSO","CALLE","MANGLE","215",,,,,,"COLONIA","EDUCACION",,,,"48338","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2116","003","3222243722","SEBTIS068.M@DEJETI.CEMS.GOB.MX","WWW.SEBTIS068.COM","Fijo","20.66109696","-105.23770514","2010-07"
"1929055","14067611152000025000000000U0","CECYTEC PLANTEL VALLARTA","COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLOGICOS DEL ESTADO DE JALISCO ","611162","Escuelas de educación media superior del sector público","51 a 100 personas","CALLE","COREA DEL SUR","CALLE","PRIMERO DE JUNIO","CALLE","12 DE OCTUBRE","OTRO (ESPECIFIQUE)","NINGUNO","560",,,,,,"COLONIA","LOMAS DEL COAPINOLE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1048","001",,,,"Fijo","20.65331853","-105.19995048","2010-07"
"6488445","14067611162000064000000000U8","CECYTEJ PLANTEL PUERTO VALLARTA-IXTAPA","SECRETARIA DE EDUCACION PÚBLICA SEP ","611162","Escuelas de educación media superior del sector público","31 a 50 personas","AVENIDA","VERDE VALLARTA","AVENIDA","VERDE VALLARTA","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","ILEX",,"SN",,,,,"FRACCIONAMIENTO","VERDE VALLARTA",,,,"48280","14","JALISCO","067","Puerto Vallarta","0028","Ixtapa","3078","001","3222278410",,,"Fijo","20.71176234","-105.23426147","2016-01"
"1908254","14067611112000543000000000U6","CENDI 4","CENTRO DE DESARROLLO INFANTIL ","611112","Escuelas de educación preescolar del sector público","11 a 30 personas","CALLE","UNIVERSO","CALLE","NINGUNO","CALLE","UNIVERSO","CALLE","UNIVERSO","125",,,,,,"COLONIA","LA AURORA",,,,"48338","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1743","024",,,,"Fijo","20.65811009","-105.23522813","2010-07"
"6721066","14067611182000033001000000U1","CENTRO ATENCION MULTIPLE ROBERTO SOLIS QUIROGA","SECRETARIA DE EDUCACION PUBLICA ","611182","Escuelas del sector público de educación para necesidades especiales","11 a 30 personas","CALLE","PEZ VELA","CALLE","PASEO DEL MARLIN","CALLE","CAMARON","CALLE","PAVO REAL","52",,,,,,"COLONIA","FRACCIONAMIENTO LAS GAVIOTAS",,,,"48328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","001",,,,"Fijo","20.63489791","-105.21787521","2016-01"
"8979973","14067611611000301000000000U0","CENTRO CULTURAL LOS FRIDOS AC","CENTRO CULTURAL LOS FRIDOS AC","611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","PRIMARIA","CALLE","SECUNDARIA","CALLE","UNIVERSIDAD DE GUADALAJARA","CALLE","POLITÉCNICO NACIONAL","213","A",,,,,"COLONIA","EDUCACION",,,,"48338","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1743","004",,,,"Fijo","20.6606989","-105.23738193","2019-11"
"8984302","14067611611000231000000000U9","CENTRO CULTURAL PLATAFORMA 322",,"611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","LUCERNA","CALLE","ALDANACA","AVENIDA","FRANCIA","CALLE","LISBOA","153",,,,,,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1673","020","3221210322","PLATAFORMA322OFICIAL@GMAIL.COM",,"Fijo","20.63389586","-105.22778188","2019-11"
"1936751","14067611121000133001000000U7","CENTRO CULTURAL Y ARTISTICO DE PUERTO VALLARTA","CENTRO CULTURAL DE PUERTO VALLARTA AC","611121","Escuelas de educación primaria del sector privado","6 a 10 personas","CALLE","INDUSTRIAS","CALLE","DALIAS","PRIVADA","COPA DE ORO","CALLE","PASEO DE LAS FLORES","160",,,,,,"SUPERMANZANA","DEMETRIO VALLEJO",,,,"48335","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0942","021","3222090567",,,"Fijo","20.66979153","-105.24685883","2010-07"
"1778778","14067611698000071000000000U0","CENTRO DE APRENDIZAJE",,"611691","Servicios de profesores particulares","0 a 5 personas","CALLE","RIO GRANDE","CALLE","BRASILIA","CALLE","RIO GUAYAQUIL","CALLE","RÍO GUAYAQUIL","104","A",,,,,"COLONIA","LOPEZ MATEOS",,,,"48340","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2525","001",,,,"Fijo","20.62120188","-105.22530076","2014-12"
"7565247","14067611691000091000000000U9","CENTRO DE APRENDIZAJE PSICO EDUCATIVO CAPE",,"611691","Servicios de profesores particulares","0 a 5 personas","CALLE","GONZALEZ GALLO","ANDADOR","SILVANO BARBA GONZALEZ","ANDADOR","GABRIEL LEYVA G.","ANDADOR","CARLOS R. PALACIOS","229",,,,,,"COLONIA","INFONAVIT CTM",,,,"48318","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1705","009","3221722637","CENTROEDUCATIVOCAPE@GMAIL.COM",,"Fijo","20.64538703","-105.2118209","2019-11"
"1777847","14067611182000023000000000U2","CENTRO DE ATENCION MULTIPLE CAM 21","SEJ ","611182","Escuelas del sector público de educación para necesidades especiales","11 a 30 personas","CALLE","MELCHOR OCAMPO","CALLE","BENEMERITO DE LAS AMERICAS","CALLE","MARIANO ESCOBEDO","CALLE","MARIANO ESCOBEDO","152",,,,,,"COLONIA","VALENTIN GOMEZ FARIAS",,,,"48320","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0853","014","3221333045","CAM21PV@GMAIL.COM",,"Fijo","20.63073968","-105.22176178","2014-12"
"1929957","14067611512000013000000000U1","CENTRO DE CAPACITACION DIF","SISTEMA DIF MUNICIPAL ","611512","Escuelas del sector público dedicadas a la enseñanza de oficios","11 a 30 personas","CALLE","21 DE MARZO","CALLE","REPUBLICA DEL ECUADOR","CALLE","21 DE MARZO","CALLE","PABLO FRANCO","650",,,,,,"COLONIA","LOMAS DEL CALVARIO",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2281","012","3222996434",,,"Fijo","20.6589712","-105.20732127","2010-07"
"8690961","14067611512000031000000000U3","CENTRO DE CAPACITACION SEAPAL","SEAPAL ","611512","Escuelas del sector público dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","LUCERO","CALLE","CUAUHTEMOC","CALLE","ATMOSFERA","CALLE","RIVERA DEL RÍO",,"SN",,,,,"COLONIA","EL CALOSO",,,,"48360","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0232","038",,,,"Fijo","20.60693852","-105.22925036","2019-11"
"1778791","14067611698000031000000000M0","CENTRO DE EDUCACION VIAL DE OCCIDENTE",,"611698","Otros servicios educativos proporcionados por el sector privado","0 a 5 personas","CALLE","GUATEMALA","ANDADOR","LOS CAMARONES","CALLE","COLOMBIA","ANDADOR","LOS CAMARONES","249",,,,,,"COLONIA","LAZARO CARDENAS",,,,"48330","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0124","055","3221075676",,,"Fijo","20.62144619","-105.22980371","2010-07"
"6765690","14067611171000322000006155S1","CENTRO DE ESTUDIOS INTENSIVOS","CENTRO DE ESTUDIOS INTENSIVOS SC","611171","Escuelas del sector privado que combinan diversos niveles de educación","6 a 10 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","AVENIDA","PABLO PICASSO","PROLONGACION","NIZA","CALLE","NUEVO MALECÓN","1939",,,,,,"COLONIA","LAS GLORIAS","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA LAS GLORIAS","-","48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1669","015",,,,"Fijo","20.63585904","-105.23156644","2016-10"
"1779365","14067611161000101011000000U0","CENTRO DE ESTUDIOS UNIVERSITARIOS CEUARKOS","CENTRO EDUCATIVO JOSEFINA CHAVEZ SAN JUAN AC","611311","Escuelas de educación superior del sector privado","11 a 30 personas","CALLE","FRANCISCO I. MADERO","CALLE","NARANJO","CALLE","JACARANDAS","CALLE","LÁZARO CÁRDENAS","490",,,,"0",,"COLONIA","EMILIANO ZAPATA",,,,"48380","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2544","007","3222222770","PREPAJCS@HOTMAIL.COM",,"Fijo","20.60495509","-105.23118796","2014-12"
"6340299","14067611311000086001008035S4","CENTRO DE ESTUDIOS UNIVERSITARIOS VIZCAYA DE LAS AMERICAS","PATRONATO CULTURAL VIZCAYA AC","611311","Escuelas de educación superior del sector privado","51 a 100 personas","AVENIDA","FRANCISCO VILLA","AVENIDA","VIENA","CALLE","MILAN","CALLE","RAFAEL OSUNA","799",,,,"0",,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1673","007",,"CONTACTO@UVA.EDU.MX","WWW.UVA.EDU.MX","Fijo","20.63420537","-105.22502827","2014-12"
"1776348","14067931610000351010000000U0","CENTRO DE MAESTROS 1413","SECRETARIA DE EDUCACION JALISCO ","611699","Otros servicios educativos proporcionados por el sector público","0 a 5 personas","CALLE","PRIMERO DE JUNIO","CALLE","24 DE JUNIO","CALLE","12 DE OCTUBRE","OTRO (ESPECIFIQUE)","NINGUNO","1413",,,,,,"COLONIA","LOMAS DEL COAPINOLE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1048","001",,,,"Fijo","20.65418154","-105.19885956","2014-12"
"1910806","14067611621000101000000000U3","CENTRO DE MEDITACION DAVANNAYOGA",,"611621","Escuelas de deporte del sector privado","0 a 5 personas","CALLE","MATAMOROS","CALLE","CORONA","CALLE","GALEANA","PRIVADA","MIRAMAR","542",,,,,,"COLONIA","CENTRO",,,,"48300","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1688","010","3222230530","ANNA@DAVANNAYOGA.COM","WWW.DAVANNAYOGA.COM","Fijo","20.60976433","-105.23317489","2010-07"
"9007897","14067611181000022000000000S6","CENTRO DE TERAPIAS PARA NIÑOS CENTRO APLAUDE","CENTRO PSICOPEDAGOGICO APLUDE SC","611181","Escuelas del sector privado de educación para necesidades especiales","6 a 10 personas","PROLONGACION","PAVO REAL","AVENIDA","PLAYA GRANDE","CALLE","AGUSTIN DE ITURBIDE","CALLE","JUAN ACEVEDO","363",,,,,,"COLONIA","INDEPENDENCIA",,,,"48237","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","013","3222764066","APLAUDE.NIDO@GMAIL.COM","CENTROAPLAUDE.COM","Fijo","20.63846692","-105.21072572","2019-11"
"1774490","14067713943000731010000000U2","CENTRO EDUCATIVO DE ARTES MARCIALES DRAGÓN MANZANAREZ",,"611611","Escuelas de arte del sector privado","0 a 5 personas","PRIVADA","NINGUNO","CALLE","ORQUIDEA","CALLE","21 DE MARZO","CALLE","DURANGO","217",,,,,,"COLONIA","LA FLORESTA",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","214A","031",,,,"Fijo","20.66305924","-105.21995454","2014-12"
"6342136","14067611171000295010000000U9","CENTRO ESCOLAR DE EXPRESION Y ARTE COLEGIO AMEYALI CENTRO DE EDUCACION INTEGRAL MARIA ASENCION AVALOS HARO","SECRETARIA DE EDUCACION PUBLICA ","611172","Escuelas del sector público que combinan diversos niveles de educación","51 a 100 personas","CALLE","PAVO REAL","PRIVADA","NINGUNO","CALLE","SAN NICOLAS","AVENIDA","PEZ VELA","428",,,,,,"COLONIA","LAS ARALIAS II",,,,"48328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","001",,,"WWW.COLEGIOAMEYALI.EDU.MX","Fijo","20.63911808","-105.21271354","2010-07"
"6264674","14067611161000065001000000U7","CENTRO UNIVERSITARIO ARKOS","CENTRO DE ESTUDIOS UNIVERSITARIOS ARKOS SA","611311","Escuelas de educación superior del sector privado","11 a 30 personas","CALLE","FRANCISCO I. MADERO","CALLE","CAMICHIN","CALLE","NARANJO","CALLE","AQUILES SERDÁN","529",,,,"0",,"COLONIA","EMILIANO ZAPATA",,,,"48380","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2544","014",,,,"Fijo","20.60513283","-105.2304117","2010-07"
"7500112","14067611511000221000000000S2","CENTRO UNIVERSITARIO DE ALTERNATIVAS MEDICAS CUAM",,"611511","Escuelas del sector privado dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","PASEO DE LAS FLORES","CALLE","LAUREL","CALLE","LAS ROSAS","CALLE","GLADIOLA","142",,,,,,"COLONIA","VILLA LAS FLORES",,,,"48335","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0942","009",,"CUAMSEDEVALLARTA@GMAIL.COM",,"Fijo","20.67530268","-105.24866442","2019-11"
"1773541","14067611311000067000000000U4","CENTRO UNIVERSITARIO DE LA COSTA","UNIVERSIDAD DE GUADALAJARA ","611312","Escuelas de educación superior del sector público","251 y más personas","AVENIDA","UNIVERSIDAD DE GUADALAJARA","OTRO (ESPECIFIQUE)","NINGUNO","AVENIDA","MEXICO","CALLE","PASEO DE LAS SIRENAS NORTE","203",,"OTRO CONGLOMERADO","PLANTA BAJA",,,"COLONIA","PACIFICO AZUL","OTRO CONGLOMERADO","CENTRO UNIVERSITARIO DE LA COSTA","203","48280","14","JALISCO","067","Puerto Vallarta","0028","Ixtapa","2506","013",,,"WWW.CUC.UDG.MX","Fijo","20.70624485","-105.22034056","2010-07"
"8896133","14067611312000053000000000U2","CENTRO UNIVERSITARIO DE LA COSTA","CENTRO UNIVERSITARIO DE LA COSTA ","611312","Escuelas de educación superior del sector público","11 a 30 personas","AVENIDA","FRANCISCO VILLA","CALLE","LUIS DONALDO COLOSIO","CALLE","EMILIANO ZAPATA","CALLE","JUAN ESCUTIA","0","SN",,,"480","A","COLONIA","VALENTIN GOMEZ FARIAS",,,,"48320","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0849","002",,,"WWW.CUC.UDG.MX","Fijo","20.63051473","-105.22682749","2019-11"
"7564548","14067611161000141000000000S6","CENTRO UNIVERSITARIO OCTAVO PAZ",,"611311","Escuelas de educación superior del sector privado","0 a 5 personas","CALLE","JUAREZ","CALLE","PIPILA","CALLE","ALLENDE","CALLE","MORELOS","829",,,,,,"COLONIA","PUERTO VALLARTA CENTRO",,,,"48300","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0213","031","3221996666","QOCTAVIOPAZPV@GMAIL.COM",,"Fijo","20.61301144","-105.23223747","2019-11"
"1934992","14067611161000053011000000S3","CENTRO UNIVERSITARIO UEA","UEA CENTRO UNIVERSITARIO AC","611311","Escuelas de educación superior del sector privado","11 a 30 personas","CALLE","REVOLUCION","CALLE","A IXTAPA","CALLE","MORELOS","CALLE","PLUTARCO ELÍAS CALLES","558",,,,"3",,"COLONIA","LAS JUNTAS",,,,"48291","14","JALISCO","067","Puerto Vallarta","0031","Las Juntas","0694","031","3222929569",,,"Fijo","20.69581103","-105.24172101","2010-07"
"7614899","14067711510000191000000000U8","CLASES DE BAILE LATIN TEAM PRODUCTIONS",,"611611","Escuelas de arte del sector privado","0 a 5 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","PROLONGACION","NIZA","PRIVADA","PABLO PICASSO","CALLE","NUEVO MALECÓN","2039",,"CENTRO Y PLAZA COMERCIAL","PISO 1",,,"COLONIA","ZONA HOTELERA NORTE","CENTRO Y PLAZA COMERCIAL","CIELITOLINDO","2039","48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1669","015","3221232906",,,"Fijo","20.63663898","-105.23203948","2019-11"
"7564527","14067611631000321000000000U6","CLASES DE INGLES",,"611631","Escuelas de idiomas del sector privado","0 a 5 personas","CALLE","REPUBLICA DEL PERU","CALLE","20 DE NOVIEMBRE","CALLE","LAZARO CARDENAS","CALLE","REPÚBLICA DEL ECUADOR","201",,,,,,"COLONIA","DEL TORO",,,,"48296","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0590","017","3221075869",,,"Fijo","20.65123207","-105.21142343","2019-11"
