"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8984104","14067624191000892000000000U6","ALCOHOLICOS ANONIMOS","ALCOHOLICOS ANONIMOS ","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","6 a 10 personas","AVENIDA","LAS GARZAS","CALLE","AVESTRUZ","CALLE","HALCONES","CALLE","FLAMINGO","196",,,,,,"COLONIA","CAÑADAS",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2794","019",,,,"Fijo","20.69601591","-105.21018817","2019-11"
"8984424","14067624191000912000000000U2","ALCOHOLICOS ANONIMOS","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","6 a 10 personas","AVENIDA","FLUVIAL VALLARTA","CALLE","HAVRE","CALLE","NIZA","CALLE","RÍO AMUR","195","4",,,,,"COLONIA","DIAZ ORDAZ",,,,"48312","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2597","033","3222900190",,"WWW.AAMEXICO.ORG.MX","Fijo","20.64112218","-105.22694019","2019-11"
"1929244","14067624191000071000000000U7","ALCOHOLICOS ANONIMOS","ALCOHOLICOS ANONIMOS ","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","VICENTE GUERRERO","CALLE","18 DE MARZO","CALLE","24 DE JUNIO","CALLE","18 DE MARZO","619",,,,"0",,"COLONIA","LOMA BONITA",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0923","021","3221415108",,,"Fijo","20.66196736","-105.21337153","2010-07"
"8983855","14067624191000861000000000S1","ALCOHOLICOS ANONIMOS AMOR Y LIBERACION",,"624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","FRANCISCO I. MADERO","CALLE","RAMON CORONA","CALLE","JOAQUIN AMARO","CALLE","VENUSTIANO CARRANZA","319",,,,,,"COLONIA","DE LAS JUNTAS DELEGACION",,,,"48290","14","JALISCO","067","Puerto Vallarta","0031","Las Juntas","1300","009",,,,"Fijo","20.6983743","-105.24857541","2019-11"
"1908729","14067624191000343000000000U0","ALCOHOLICOS ANONIMOS GRUPO MARINA","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","PROLONGACION","NIZA","PRIVADA","PABLO PICASSO","CALLE","NUEVO MALECÓN",,"DOMICILIO CONOCIDO","CENTRO Y PLAZA COMERCIAL","PLANTA BAJA",,"LOCAL 38A","COLONIA","LAS GLORIAS","CENTRO Y PLAZA COMERCIAL","PLAZA GENOVESA","LOCAL 38A","48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1669","015",,,,"Fijo","20.63516841","-105.2311329","2010-07"
"1913107","14067624191000701001000000U9","ALCOHOLICOS ANÓNIMOS GRUPO PUERTO DE LUZ","CENTRAL MEXICANA DE SERVICIOS GENERALES DE A. A AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","11 a 30 personas","CALLE","VENUSTIANO CARRANZA","CALLE","NARANJO","CALLE","JACARANDAS","CALLE","LÁZARO CÁRDENAS","483","A",,,"0",,"COLONIA","EMILIANO ZAPATA",,,,"48380","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2544","006",,,,"Fijo","20.60390067","-105.23108615","2010-07"
"1908904","14067621331000061001000000U3","ALCOHOLICOS ANONIMOS LA GRANJA. GRUPO 24 HRS AMPLIACION PUERTO VALLARTA DE SERVICIOS GRATUITOS",,"624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","11 a 30 personas","CALLE","MARIANO JIMENEZ","CALLE","GALEANA","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","FLORENCIO VILLARREAL","126",,,,"0",,"COLONIA","INDEPENDENCIA",,,,"48327","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0961","036","3222934742",,,"Fijo","20.64573598","-105.20453323","2010-07"
"1778315","14067624191000782001000000U9","ALCOHOLICOS ANONIMOS MILAGRO DE HOY","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","BOLIVIA","CALLE","BRASILIA","CALLE","GUATEMALA","CALLE","BRASIL","1409",,,,"0",,"COLONIA","5 DE DICIEMBRE",,,,"48350","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0181","005",,,,"Fijo","20.62166969","-105.22835619","2014-12"
"1774920","14067624191000771000000000U2","ALCOHÓLICOS ANÓNIMOS NUEVA ILUSIÓN","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","SINALOA","CALLE","DURANGO","CALLE","AGUASCALIENTES","CALLE","SONORA","359",,,,,,"COLONIA","LAS MOJONERAS",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2188","008","3222051322",,,"Fijo","20.68793638","-105.22300358","2014-12"
"1773656","14067624191000431000000000U3","ALCOHOLICOS ANONIMOS NUEVA VIDA","ALCOHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","NIÑOS HEROES","CALLE","REFORMA","CALLE","ITURBIDE","CALLE","DEGOLLADO","210",,,,,,"COLONIA","CENTRO IXTAPA",,,,"48280","14","JALISCO","067","Puerto Vallarta","0028","Ixtapa","1230","019",,"LUCIOAJAIMES@AAMEXICO.ORG.MX","WWW.AAMEXICO.ORG.MX","Fijo","20.71578537","-105.20312583","2014-12"
"1929091","14067624191000481001000000U8","ALCOHOLICOS ANONIMOS UN CAMINON ALA VIDA CENTRAL MEXICANA DE SERVICIOS GENERALES",,"624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","11 a 30 personas","CALLE","REVOLUCION","CALLE","ALEMANIA","CALLE","SUIZA","CALLE","24 DE FEBRERO","1237",,,,"0",,"COLONIA","VILLA DE GUADALUPE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0891","012","3221349330",,,"Fijo","20.64992063","-105.20475472","2010-07"
"8894688","14067621320000071000000000U5","ALFER OPTICS",,"621320","Consultorios de optometría","0 a 5 personas","CALLE","TATEWARE","AVENIDA","PRISCILIANO SANCHEZ","PRIVADA","TATEWARE","CALLE","NINGUNO","24",,,,,,"COLONIA","ARAMARA",,,,"48314","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0478","009",,,,"Fijo","20.65403338","-105.23007392","2019-11"
"8984225","14067621910000022000000000S6","AMBULANCIAS LIFE VAL","LIFE VAL SA DE CV","621910","Servicios de ambulancias","6 a 10 personas","PRIVADA","LAS PALMAS","CALLE","OBELISCO","CALLE","INDUSTRIAS","AVENIDA","FRANCISCO MEDINA ASCENCIO","136",,,,,,"COLONIA","VILLA LAS FLORES",,,,"48335","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0942","015","3222210774",,,"Fijo","20.67197897","-105.24805826","2019-11"
"1912741","14067621113000171000000000U2","AMBULANCIAS MG",,"621910","Servicios de ambulancias","0 a 5 personas","CALLE","FRANCISCO ZARCO","CALLE","SANTA TERESITA","CALLE","BENEMERITO DE LAS AMERICAS","CALLE","BENEMÉRITO DE LAS AMÉRICAS","108",,,,"0",,"COLONIA","VALENTIN GOMEZ FARIAS",,,,"48320","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0853","020","3222250386","AMBULANCIASMG@HOTMAIL.COM",,"Fijo","20.62974264","-105.22039109","2010-07"
"1778685","14067621113000551000000000U5","ANKU LA CLINICA DEL HOMBRE","ATENCION PROFESIONAL EN SALUD SC","621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","CALLE","ECUADOR","CALLE","RIO GUAYAQUIL","CALLE","BRASILIA","CALLE","COSTA RICA","1494",,,,,,"COLONIA","LAZARO CARDENAS",,,,"48330","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0124","023",,"INFORMACIO@ANKU.COM.MX","WWW.ANKU.COM.MX","Fijo","20.62321562","-105.22711182","2014-12"
"6206647","14067624191000382001000000S8","APRENDIENDO A VIVIR AL-ANON","GRUPO AL-ANON AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","REPUBLICA DEL ECUADOR","CALLE","MIRAMAR","CALLE","12 DE OCTUBRE","CALLE","REPÚBLICA DEL BRASIL","296",,,,"3","95-96-97","COLONIA","COAPINOLE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0567","018",,,,"Fijo","20.65455754","-105.20938925","2014-12"
"7565752","14067621211002191000000000U0","ARMENTA DENTAL STUDIO CONSULTORIO DENTAL",,"621211","Consultorios dentales del sector privado","0 a 5 personas","AVENIDA","FLUVIAL VALLARTA","CALLE","LAGO SALADO","AVENIDA","LOS TULES","CALLE","RÍO BRAVO","260",,"PLAZA SAN MARINO","PLANTA BAJA","3",,"RESIDENCIAL","FLUVIAL VALLARTA","CENTRO Y PLAZA COMERCIAL","PLAZA SAN MARINO","3","48313","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2582","072","3222251000",,,"Fijo","20.64306791","-105.2309471","2019-11"
"9023211","14067621211001991000000000U4","ART DENT",,"621211","Consultorios dentales del sector privado","0 a 5 personas","CALLE","SIERRA ACONCAGUA","AVENIDA","FRANCISCO VILLA","PROLONGACION","COLOMBIA","CALLE","SIERRA PIRINEOS","221","B",,,"0",,"COLONIA","LAZARO CARDENAS",,,,"48330","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0105","002","3222744006",,,"Fijo","20.62831183","-105.22798509","2019-11"
"8361590","14067621113001301000000000U4","ARTE MEDICA",,"621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","AVENIDA","DE LOS TULES","CALLE","PASEO DEL SALMON","CALLE","GUACAMAYO","CALLE","PASEO DEL ACANTO","277",,,,,,"COLONIA","JARDINES VALLARTA",,,,"48318","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","031",,,,"Fijo","20.63869187","-105.22008142","2019-11"
"8361589","14067621113001291000000000U7","ARTE MEDICA",,"621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","AVENIDA","DE LOS TULES","CALLE","PASEO DEL SALMON","CALLE","GUACAMAYO","CALLE","PASEO DEL ACANTO","277",,,,,,"COLONIA","JARDINES VALLARTA",,,,"48318","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","031",,,,"Fijo","20.63869187","-105.22008142","2019-11"
"1777129","14067621113000631000000000U5","ARTE MÉDICA MEDICINA ESTEICA",,"621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","AVENIDA","DE LOS TULES","CALLE","PASEO DEL SALMON","CALLE","GUACAMAYO","CALLE","PASEO DEL ACANTO","277",,,,,,"COLONIA","JARDINES VALLARTA",,,,"48318","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","031",,,,"Fijo","20.63869187","-105.22008142","2014-12"
"1777135","14067621113000671000000000U1","ARTEMEDICA CIRUJIA DE TORAX CARDIOBASCULAR",,"621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","AVENIDA","DE LOS TULES","CALLE","PASEO DEL SALMON","CALLE","GUACAMAYO","CALLE","PASEO DEL ACANTO","277",,,,,,"COLONIA","JARDINES VALLARTA",,,,"48318","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2309","031",,,,"Fijo","20.63869187","-105.22008142","2014-12"
"1775646","14067623311000033000000000U2","ASILO SAN JUAN DIEGO","ASILO SAN JUAN DIEGO AC","623311","Asilos y otras residencias del sector privado para el cuidado de ancianos","11 a 30 personas","CALLE","RUISEÑOR","CALLE","APENINOS","CALLE","CAUCASO","CALLE","VESUBIO","193",,,,,,"COLONIA","LOMAS DE SAN NICOLAS",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1654","005",,"ASILOSANJUANDIEGO@LIVE.COM.MX","WWW.ASILOSANJUANDIEGO.COM.MX","Fijo","20.67368344","-105.18581391","2014-12"
"1779235","14067624191000631001000000U8","ASOCIACION DE ALCOHOLICOS ANONIMOS ALANO CLUB","ALANO CLUB AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","6 a 10 personas","CALLE","BASILIO BADILLO","CALLE","CONSTITUCION","CALLE","INSURGENTES","CALLE","VENUSTIANO CARRANZA","329",,,,,,"COLONIA","EMILIANO ZAPATA",,,,"48380","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0251","004",,,,"Fijo","20.60270416","-105.23386053","2014-12"
"1778126","14067623111000012011000000U0","ASOCIACION FEMENIL VALLARTENSE","ASOCIACION FEMENIL VALLARTENSE ","624122","Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados","0 a 5 personas","PRIVADA","SAN BLAS","PRIVADA","CHAPULTEPEC","CALLE","PASEO DE LA VIENA","CALLE","PEZ ESPADA","107",,,,,,"COLONIA","NIÑOS HEROES",,,,"49328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2563","018",,"ASOCIACIONFEMENIL@YAHOO.COM.MX",,"Fijo","20.63253087","-105.2193313","2014-12"
"1777783","14067624112000042001000000U4","ASOCIACION MEXICANA DE SUPERACION PERSONAL","H AYUNTAMIENTO DE PUERTO VALLARTA ","624112","Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público","0 a 5 personas","CALLE","PASEO DE LAS PALMAS","CALLE","HEROES DE LA PATRIA","CALLE","PASEOS DE LAS PALMAS","AVENIDA","EMILIANO ZAPATA","533",,,,,,"COLONIA","SANTA MARIA",,,,"48320","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0849","012","3222255960",,,"Fijo","20.62674911","-105.22392101","2014-12"
"8984645","14067621113000931000000000U9","AUDIOLOGOMIGUEL ANGEL SANCHEZ RIVERA",,"621113","Consultorios de medicina especializada del sector privado","0 a 5 personas","AVENIDA","LOS TULES","CALLE","VIENA","CALLE","ESPAÑA","PRIVADA","MELCHOR OCAMPO","146",,,,"0",,"COLONIA","CONDOMINIO PUERTO DE LUNA",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2582","038",,,,"Fijo","20.64074951","-105.23180523","2019-11"
"7500786","14067621311000251000000000U2","BAHIA CHIROPRACTIC",,"621311","Consultorios de quiropráctica del sector privado","0 a 5 personas","CALLE","IGNACIO LUIS VALLARTA","CALLE","LAZARO CARDENAS","CALLE","FRANCISCO I. MADERO","CALLE","PINO SUÁREZ","228",,"OTRO CONGLOMERADO","PLANTA BAJA",,,"COLONIA","EMILIANO ZAPATA","MERCADO PUBLICO","PLAZA ROMY","228","48380","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0247","006",,,,"Fijo","20.6038571","-105.23607938","2019-11"
"8980024","14067623312000011000000000U6","BIENESTAR DEL ADULTO MAYOR ECONOMICO","GOBIERNO FEDERAL ","623312","Asilos y otras residencias del sector público para el cuidado de ancianos","0 a 5 personas","CALLE","MILENIUM","AVENIDA","PRISCILIANO SANCHEZ","CALLE","PREPARATORIA","AVENIDA","FRANCISCO MEDINA ASCENCIO","143",,,,,,"COLONIA","LA AURORA",,,,"48338","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1743","001",,,,"Fijo","20.65677215","-105.23693704","2019-11"
"7564994","14067621391000261000000000U3","BIENESTAR NATURAL",,"621391","Consultorios de nutriólogos y dietistas del sector privado","0 a 5 personas","CALLE","GUATEMALA","CALLE","JAMAICA","CALLE","BELICE","CALLE","SAN SALVADOR","536",,,,,,"COLONIA","5 DE DICIEMBRE",,,,"48350","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2525","018",,,,"Fijo","20.62081625","-105.22613192","2019-11"
"1660297","14067621511000322001000000U6","BIOMEDICAL CENTER","CENTRO DE INMUNOTERAPIA ADOPTIVA S DE RL DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","11 a 30 personas","AVENIDA","LOS TULES","CALLE","VIENA","CALLE","ESPAÑA","PRIVADA","MELCHOR OCAMPO","140",,"HOSPITAL, CENTRO MEDICO O CLINICA","PLANTA BAJA",,,"COLONIA","CONDOMINIO PUERTO DE LUNA","HOSPITAL, CENTRO MEDICO O CLINICA","BIOMEDICAL CENTER","140","48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2582","038","3222936161","ADMON@BIOMEDICALPV.COM",,"Fijo","20.64052755","-105.23189204","2013-07"
"1928639","14067621391000031000000000U0","BIOSLIM CONSULTORIO DE ASESORIA NUTRICIONAL",,"621391","Consultorios de nutriólogos y dietistas del sector privado","0 a 5 personas","CALLE","HIDALGO","CALLE","5 DE MAYO","CALLE","INDEPENDENCIA","CALLE","ABASOLO","185","1",,,"1","1","COLONIA","PITILLAL CENTRO",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0073","018",,,,"Fijo","20.65188223","-105.21954197","2010-07"
"7898162","14067621211002261000000000U1","BOCA OFICINA DENTAL",,"621211","Consultorios dentales del sector privado","0 a 5 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","AVENIDA","PASEO DE LA MARINA","CALLE","PROA","CALLE","QUILLA","3945",,"CENTRO Y PLAZA COMERCIAL","PLANTA BAJA",,,"FRACCIONAMIENTO","MARINA VALLARTA","CENTRO Y PLAZA COMERCIAL","PLAZA NEPTUNO","3945","48335","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0726","012","3222944953","DDS.FTORRES@HOTMAIL.COM",,"Fijo","20.66780667","-105.24829165","2019-11"
"7480728","14067621211001701000000000U7","BOKA DENT",,"621211","Consultorios dentales del sector privado","0 a 5 personas","AVENIDA","PRISCILIANO SANCHEZ","CALLE","NINGUNO","AVENIDA","MEXICO","CALLE","MARÍA MONTESSORI","530","11",,,,,"COLONIA","VALLARTA 750",,,,"48314","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0478","065","3221145620",,,"Fijo","20.6549436","-105.22909197","2019-11"
"7564319","14067621115000131000000000S1","BTC BIO THERAPEUTIC CENTER","BTC BIO THERAPEUTIC CENTER ","621115","Clínicas de consultorios médicos del sector privado","0 a 5 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","CALLE","DAVID ALFARO SIQUEIROS","PROLONGACION","PABLO PICASSO","CALLE","CLEMENTE OROZCO","1989",,"CENTRO Y PLAZA COMERCIAL","PLANTA BAJA","0",,"COLONIA","LAS GLORIAS","CENTRO Y PLAZA COMERCIAL","VILLA VALLARTA","1989","48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1669","019",,"PUERTOVALLARTA@BTCCORPORATICO.COM","WWW.BCTCLINICAS.COM.MX","Fijo","20.63432668","-105.23061526","2019-11"
"1907321","14067624412000133000000000U5","CADI ARAMARA","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL MUNICIPIO DE PUERTO VALLARTA ","624412","Guarderías del sector público","11 a 30 personas","CALLE","VIRICOTA","CALLE","KETZU","CALLE","KETZU","CALLE","KETZU","43",,,,,,"COLONIA","VALLARTA 750",,,,"48314","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0478","001","3222247052","CADIARAMARA@GMAIL.COM",,"Fijo","20.65326805","-105.23151137","2010-07"
"1775589","14067621116000023000000000U8","CAPASITS CENTRO ATENCION PARA PACIENTES CON VIH SECRETARIA DE SALUD","GOBIERNO ","621116","Clínicas de consultorios médicos del sector público","11 a 30 personas","CALLE","ALDAMA","CALLE","FRANCISCO I. MADERO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","DINAMARCA","1013",,,,,"SN","COLONIA","LOMAS DE ENMEDIO",,,,"48313","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2629","001","3222994715",,,"Fijo","20.66958849","-105.20955017","2014-12"
